5200760,BG,Kulata(Gr),412307N,232126E,5256060,BG,KULATA,412307N,232126E,1
5200760,BG,Kulata(Gr),412307N,232126E,5434364,CZ,"OSTRAVA HLAVNI NADRAZI",495100N,181607E,0
5400032,CZ,"Ostrava hlavní nádrazi",495100N,181607E,5434364,CZ,"OSTRAVA HLAVNI NADRAZI",495100N,181607E,1
5400032,CZ,"Ostrava hlavní nádrazi",495100N,181607E,5453179,CZ,"USTI NAD LABEM HLAVNI NADRAZI",503935N,140240E,0
5400044,CZ,"Ústí nad Labem hlavní nádraží",503929N,140143E,5453179,CZ,"USTI NAD LABEM HLAVNI NADRAZI",503935N,140240E,1
5400044,CZ,"Ústí nad Labem hlavní nádraží",503929N,140143E,5433334,CZ,"FRENSTAT POD RADHOSTEM",493231N,181328E,0
5433324,CZ,"Frenštát pod Radhoštìm",493232N,181324E,5433334,CZ,"FRENSTAT POD RADHOSTEM",493231N,181328E,1
5433324,CZ,"Frenštát pod Radhoštìm",493232N,181324E,5453549,CZ,KADAN,502441N,131527E,0
5453799,CZ,Kadaò-Prunéøov,502253N,131636E,5453549,CZ,KADAN,502441N,131527E,1
5453799,CZ,Kadaò-Prunéøov,502253N,131636E,5454009,CZ,"JIRKOV ZASTAVKA",502908N,132650E,0
5454019,CZ,"Jirkov zastávka",502908N,132651E,5454009,CZ,"JIRKOV ZASTAVKA",502908N,132650E,1
5454019,CZ,"Jirkov zastávka",502908N,132651E,541A008,CZ,OSTRAVA,494916N,181234E,0
54G0009,CZ,OSTRAVA-,494916N,181234E,541A008,CZ,OSTRAVA,494916N,181234E,1
54G0009,CZ,OSTRAVA-,494916N,181234E,5511387,HU,"MISKOLC TISZAI PU",480557N,204833E,0
5500112,HU,Miskolc-Tiszai,480554N,204835E,5511387,HU,"MISKOLC TISZAI PU",480557N,204833E,1
5500112,HU,Miskolc-Tiszai,480554N,204835E,5510470,HU,NAGYMAROS-VISEGRAD,474726N,185731E,0
5517095,HU,Nagykörös,470221N,194539E,5510470,HU,NAGYMAROS-VISEGRAD,474726N,185731E,1
5517095,HU,Nagykörös,470221N,194539E,5413790,SK,"SLOVENSKE NOVE MESTO",495255N,183436E,0
5613790,SK,"Slovenské Nové Mesto",482410N,214002E,5413790,SK,"SLOVENSKE NOVE MESTO",495255N,183436E,1
5613790,SK,"Slovenské Nové Mesto",482410N,214002E,5414543,SK,"CERVENA SKALA",501003N,142149E,0
5614543,SK,"Červená Skala",484923N,200753E,5414543,SK,"CERVENA SKALA",501003N,142149E,1
5614543,SK,"Červená Skala",484923N,200753E,5414906,SK,KOMARNO,492555N,174753E,0
5614906,SK,Komárno,474608N,180732E,5414906,SK,KOMARNO,492555N,174753E,1
5614906,SK,Komárno,474608N,180732E,5416010,SK,STRAZSKE,494303N,124642E,0
5616010,SK,Strážske,485203N,214929E,5416010,SK,STRAZSKE,494303N,124642E,1
5616010,SK,Strážske,485203N,214929E,5416040,SK,HUMENNE,491003N,163420E,0
5616040,SK,Humenné,485548N,215404E,5416040,SK,HUMENNE,491003N,163420E,1
5616040,SK,Humenné,485548N,215404E,5417235,SK,NOVAKY,501958N,142949E,0
5617235,SK,Nováky,484306N,183210E,5417235,SK,NOVAKY,501958N,142949E,1
5617235,SK,Nováky,484306N,183210E,5418245,SK,"KYSUCKE NOVE MESTO",500901N,153008E,0
5618245,SK,"Kysucké Nové Mesto",491821N,184702E,5418245,SK,"KYSUCKE NOVE MESTO",500901N,153008E,1
5618245,SK,"Kysucké Nové Mesto",491821N,184702E,7231302,ME,"BIJELO POLJE",430316N,194610E,0
6231302,ME,"Bijelo Polje(Gr)",430316N,194610E,7231302,ME,"BIJELO POLJE",430316N,194610E,1
6231302,ME,"Bijelo Polje(Gr)",430316N,194610E,7029010,GB,HOLLINWOOD,525357N,024122W,0
7013460,GB,PREES,525357N,024122W,7029010,GB,HOLLINWOOD,525357N,024122W,1
