uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
80G2389,DE,"Bad Friedrichshall-Jagstfeld",491353N,091159E,8099049,DE,"Bad Honnef (Rhein) Stadtbahn",503819N,071246E,0
80G2588,DE,"Bad Honnef (Rhein) Stadtbahn",503819N,071246E,8099049,DE,"Bad Honnef (Rhein) Stadtbahn",503819N,071246E,1
80G2588,DE,"Bad Honnef (Rhein) Stadtbahn",503819N,071246E,8065447,DE,"Bad Honnef Am Spitzenbach",503838N,071220E,0
8070770,DE,"Bad Honnef Am Spitzenbach",503855N,071254E,8065447,DE,"Bad Honnef Am Spitzenbach",503838N,071220E,1
8070770,DE,"Bad Honnef Am Spitzenbach",503855N,071254E,8079905,DE,"Bad Honnef(Rhein) (Schiff)",503831N,071250E,0
80G2517,DE,"Bad Honnef(Rhein) (Schiff)",503831N,071250E,8079905,DE,"Bad Honnef(Rhein) (Schiff)",503831N,071250E,1
80G2517,DE,"Bad Honnef(Rhein) (Schiff)",503831N,071250E,8079940,DE,"Bad Hönningen (Schiff)",503037N,071826E,0
80G2546,DE,"Bad Hönningen (Schiff)",503037N,071826E,8079940,DE,"Bad Hönningen (Schiff)",503037N,071826E,1
80G2546,DE,"Bad Hönningen (Schiff)",503037N,071826E,1100324,DE,"Bad Krozingen A.-Danner-Park",475500N,074219E,0
11G0295,DE,"Bad Krozingen A.-Danner-Park",475500N,074219E,1100324,DE,"Bad Krozingen A.-Danner-Park",475500N,074219E,1
11G0295,DE,"Bad Krozingen A.-Danner-Park",475500N,074219E,1100500,DE,"Bad Krozingen Oberkr. Adler",475428N,074241E,0
11G0424,DE,"Bad Krozingen Oberkr. Adler",475428N,074241E,1100500,DE,"Bad Krozingen Oberkr. Adler",475428N,074241E,1
11G0424,DE,"Bad Krozingen Oberkr. Adler",475428N,074241E,1100729,DE,"Bad Krozingen Staufener Str.",475458N,074222E,0
11G0618,DE,"Bad Krozingen Staufener Str.",475458N,074222E,1100729,DE,"Bad Krozingen Staufener Str.",475458N,074222E,1
11G0618,DE,"Bad Krozingen Staufener Str.",475458N,074222E,1101000,DE,"Bad Reichenhall Hauptbahnhof",474352N,125256E,0
11G0639,DE,"Bad Reichenhall Hauptbahnhof",474352N,125256E,1101000,DE,"Bad Reichenhall Hauptbahnhof",474352N,125256E,1
11G0639,DE,"Bad Reichenhall Hauptbahnhof",474352N,125256E,8003293,DE,"Bad Saarow-Pieskow",521735N,140353E,0
