uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
10G0003,FI,TURKU,602712N,221513E,101A001,FI,TURKU,602712N,221513E,1
10G0003,FI,TURKU,602712N,221513E,1000170,FI,KOKEMAKI,611516N,221809E,0
10G0004,FI,KOKEMAKI,611516N,221809E,1000170,FI,KOKEMAKI,611516N,221809E,1
10G0004,FI,KOKEMAKI,611516N,221809E,1000966,FI,KESALAHTI,615316N,294811E,0
10G0005,FI,KESALAHTI,615316N,294811E,1000966,FI,KESALAHTI,615316N,294811E,1
10G0005,FI,KESALAHTI,615316N,294811E,1000265,FI,AHTARI,623312N,240348E,0
10G0006,FI,AHTARI,623312N,240348E,1000265,FI,AHTARI,623312N,240348E,1
10G0006,FI,AHTARI,623312N,240348E,1000376,FI,UTAJARVI,644531N,262449E,0
10G0007,FI,UTAJARVI,644531N,262449E,1000376,FI,UTAJARVI,644531N,262449E,1
10G0007,FI,UTAJARVI,644531N,262449E,2003181,RU,"SANKT PETERBURG GLAVNYI",000000N,000000E,0
2003181,RU,"St Petersburg Glavny",595543N,302145E,2003181,RU,"SANKT PETERBURG GLAVNYI",000000N,000000E,1
2003181,RU,"St Petersburg Glavny",595543N,302145E,2003306,RU,"SANKT PETERBURG VITEBSKII",595510N,301946E,0
2003306,RU,"St Petersburg Vitebs",595510N,301947E,2003306,RU,"SANKT PETERBURG VITEBSKII",595510N,301946E,1
2003306,RU,"St Petersburg Vitebs",595510N,301947E,2003602,RU,"SANKT PETERBURG",595532N,301823E,0
2003602,RU,"St. Peterburg",595532N,301823E,2003602,RU,"SANKT PETERBURG",595532N,301823E,1
2003602,RU,"St. Peterburg",595532N,301823E,2003820,RU,"SANKT PETERBURG FINLIANDSKII",000000N,000000E,0
2003820,RU,"St Petersburg Ladogs",595555N,302628E,2003820,RU,"SANKT PETERBURG FINLIANDSKII",000000N,000000E,1
2003820,RU,"St Petersburg Ladogs",595555N,302628E,2004200,RU,CHUDOVO-MOSKOVSKO,000000N,000000E,0
2004200,RU,CHUDOVO-MOSKOVSKO,554651N,374219E,2004200,RU,CHUDOVO-MOSKOVSKO,000000N,000000E,1
2004200,RU,CHUDOVO-MOSKOVSKO,554651N,374219E,2005000,RU,BOLOGOE-MOSKOVKOE,000000N,000000E,0
2005000,RU,Bologoe-Moskovkoe,575358N,340201E,2005000,RU,BOLOGOE-MOSKOVKOE,000000N,000000E,1
2005000,RU,Bologoe-Moskovkoe,575358N,340201E,2005330,RU,UGLOVKA,581400N,333035E,0
2005330,RU,UGLOVKA,581400N,333035E,2005330,RU,UGLOVKA,581400N,333035E,1
2005330,RU,UGLOVKA,581400N,333035E,2005370,RU,OKULOVKA,582218N,331800E,0
2005370,RU,OKULOVKA,582218N,331800E,2005370,RU,OKULOVKA,582218N,331800E,1
2005370,RU,OKULOVKA,582218N,331800E,2006007,RU,"MOSKVA OKTIABRSKAIA",554633N,373919E,0
